entity,country_code
东京,JP
東京,JP
도쿄,JP
dongguan,CN
đông hoản,CN
डोंगगुआन,CN
ตงกว่าน,CN
东莞,CN
東莞,CN
동관,CN
cairo,EG
el cairo,EG
il cairo,EG
kair,EG
kairo,EG
le caire,EG
काहिरा,EG
ไคโร,EG
カイロ,EG
开罗,EG
카이로,EG
tây an,CN
xi'an,CN
xian,CN
शीआन,CN
ซีอาน,CN
西安,CN
서안,CN
joanesburgo,ZA
johannesbourg,ZA
johannesburg,ZA
johannesburgo,ZA
जोहान्सबर्ग,ZA
โจฮันเนสเบิร์ก,ZA
ヨハネスブルグ,ZA
约翰内斯堡,ZA
요하네스버그,ZA
nam kinh,CN
nanchino,CN
nanjing,CN
nankin,CN
nankín,CN
nanquim,CN
नानजिंग,CN
หนานจิง,CN
南京,CN
난징,CN
hangzhou,CN
hàng châu,CN
हांग्जो,CN
หางโจว,CN
杭州,CN
항저우,CN
foshan,CN
phật sơn,CN
फ़ोशान,CN
ฝัวซาน,CN
フォーシャン,CN
佛山,CN
포산,CN
cidade de ho chi minh,VN
ciudad ho chi minh,VN
ho chi minh,VN
ho chi minh city,VN
ho-chi-minh-stadt,VN
hô chi minh-ville,VN
thành phố hồ chí minh,VN
हो ची मिन्ह शहर,VN
นครโฮจิมินห์,VN
ホーチミン市,VN
胡志明市,VN
호찌민,VN
london,"[""GB"", ""CA""]"
londra,"[""GB"", ""CA""]"
londres,"[""GB"", ""CA""]"
londyn,"[""GB"", ""CA""]"
luân đôn,"[""GB"", ""CA""]"
लंदन,"[""GB"", ""CA""]"
ลอนดอน,"[""GB"", ""CA""]"
ロンドン,"[""GB"", ""CA""]"
伦敦,"[""GB"", ""CA""]"
런던,"[""GB"", ""CA""]"
new york,US
new york city,US
nova iorque,US
nowy jork,US
nueva york,US
thành phố new york,US
न्यूयॉर्क नगर,US
นครนิวยอร์ก,US
ニューヨーク市,US
纽约市,US
뉴욕,US
dżakarta,ID
giacarta,ID
jacarta,ID
jakarta,ID
yakarta,ID
जकार्ता,ID
จาการ์ตา,ID
ジャカルタ,ID
雅加达,ID
자카르타,ID
bangalore,IN
bengaluru,IN
बेंगलुरु,IN
เบงคลูรู,IN
ベンガルール,IN
班加罗尔,IN
벵갈루루,IN
hanoi,VN
hanoï,VN
hanói,VN
hà nội,VN
हनोई,VN
ฮานอย,VN
ハノイ,VN
河内,VN
하노이,VN
taipeh,TW
taipei,TW
taipé,TW
taipéi,TW
tajpej,TW
đài bắc,TW
ताइपे,TW
ไทเป,TW
台北,TW
臺北,TW
타이페이,TW
lima,PE
लीमा,PE
ลิมา,PE
リマ,PE
利马,PE
리마,PE
bogota,CO
bogotà,CO
bogotá,CO
बोगोटा,CO
โบโกตา,CO
ボゴタ,CO
波哥大,CO
보고타,CO
hong kong,HK
hongkong,HK
hồng kông,HK
हांगकांग,HK
ฮ่องกง,HK
香港,HK
홍콩,HK
chongqing,CN
trùng khánh,CN
चोंगछिंग,CN
ฉงชิ่ง,CN
重庆,CN
重慶,CN
충칭,CN
bagdad,IQ
bagdá,IQ
baghdad,IQ
बग़दाद,IQ
แบกแดด,IQ
バグダード,IQ
巴格达,IQ
바그다드,IQ
qingdao,CN
thanh đảo,CN
चिंगदाओ,CN
ชิงเต่า,CN
チンタオ,CN
青岛,CN
칭다오,CN
teerã,IR
teheran,IR
teherán,IR
tehran,IR
téhéran,IR
तेहरान,IR
เตหะราน,IR
テヘラン,IR
德黑兰,IR
테헤란,IR
shenyang,CN
thẩm dương,CN
शेनयांग,CN
เสิ่นหยาง,CN
沈阳,CN
瀋陽,CN
선양,CN
haiderabade,"['IN', 'PK']"
hajdarabad,"['IN', 'PK']"
hyderabad,"['IN', 'PK']"
हैदराबाद,"['IN', 'PK']"
ไฮเดอราบาด,"['IN', 'PK']"
ハイデラバード,"['IN', 'PK']"
海得拉巴,"['IN', 'PK']"
하이데라바드,"['IN', 'PK']"
rio de janeiro,BR
río de janeiro,BR
रियो डी जनेरियो,BR
รีโอเดจาเนโร,BR
リオデジャネイロ,BR
里约热内卢,BR
리우데자네이루,BR
suzhou,CN
tô châu,CN
सूझोऊ,CN
ซูโจว,CN
苏州,CN
蘇州,CN
쑤저우,CN
ahmadabad,IN
ahmedabad,IN
अहमदाबाद,IN
อะห์มดาบาด,IN
アフマダーバード,IN
艾哈迈达巴德,IN
아마다바드,IN
abidjan,CI
abidjã,CI
abidżan,CI
abiyán,CI
आबिदजान,CI
อาบีจาน,CI
アビジャン,CI
阿比让,CI
아비장,CI
singapore,SG
singapour,SG
singapur,SG
singapura,SG
सिंगापुर,SG
สิงคโปร์,SG
シンガポール,SG
新加坡,SG
싱가포르,SG
dar es salaam,TZ
dar es salam,TZ
दार एस सलाम,TZ
ดาร์-เอส-ซาลาม,TZ
ダルエスサラーム,TZ
达累斯萨拉姆,TZ
다르에스살람,TZ
saint petersburg,RU
saint-pétersbourg,"['RU', 'US']"
san petersburgo,"['RU', 'US']"
san pietroburgo,"['RU', 'US']"
sankt petersburg,"['RU', 'US']"
sankt-peterburg,"['RU', 'US']"
são petersburgo,"['RU', 'US']"
सेंट पीटर्सबर्ग,"['RU', 'US']"
เซนต์ปีเตอร์สเบิร์ก,"['RU', 'US']"
サンクトペテルブルク,"['RU', 'US']"
圣彼得堡,"['RU', 'US']"
상트페테르부르크,"['RU', 'US']"
alejandría,"[""EG"", ""US""]"
aleksandria,"[""EG"", ""US""]"
alessandria,"[""EG"", ""US""]"
alexandria,"[""EG"", ""US""]"
alexandrie,"[""EG"", ""US""]"
सिकन्दरिया,"[""EG"", ""US""]"
อะเล็กซานเดรีย,"[""EG"", ""US""]"
アレクサンドリア,"[""EG"", ""US""]"
亚历山大,"[""EG"", ""US""]"
알렉산드리아,"[""EG"", ""US""]"
cáp nhĩ tân,CN
harbin,CN
हारबिन,CN
ฮาร์บิน,CN
ハルビン,CN
哈尔滨,CN
하얼빈,CN
sydney,"[""AU"", ""CA""]"
sídney,"[""AU"", ""CA""]"
सिडनी,"[""AU"", ""CA""]"
ซิดนีย์,"[""AU"", ""CA""]"
シドニー,"[""AU"", ""CA""]"
悉尼,"[""AU"", ""CA""]"
시드니,"[""AU"", ""CA""]"
bangkok,TH
banguecoque,TH
băng cốc,TH
बैंकॉक,TH
กรุงเทพมหานคร,TH
バンコク,TH
曼谷,TH
방콕,TH
hefei,CN
hợp phì,CN
हेफ़ेई,CN
เหอเฝย์,CN
合肥,CN
허페이,CN
melbourne,AU
मेलबर्न,AU
เมลเบิร์น,AU
メルボルン,AU
墨尔本,AU
멜버른,AU
dalian,CN
đại liên,CN
दालियान,CN
ต้าเหลียน,CN
大连,CN
大連,CN
다롄,CN
kano,NG
कानो,NG
คาโน,NG
カノ,NG
卡诺,NG
카노,NG
santiago,"[""CL"", ""PH""]"
सैंटियागो,"[""CL"", ""PH""]"
ซันติอาโก,"[""CL"", ""PH""]"
サンティアゴ,"[""CL"", ""PH""]"
圣地亚哥,"[""CL"", ""PH""]"
산티아고,"[""CL"", ""PH""]"
peschawar,PK
peshawar,PK
peszawar,PK
पेशावर,PK
เปศวาร์,PK
ペシャーワル,PK
白沙瓦,PK
페샤와르,PK
changchun,CN
czangczun,CN
trường xuân,CN
चांगचुन,CN
ฉางชุน,CN
長春,CN
长春,CN
장춘,CN
cape town,ZA
cidade do cabo,ZA
città del capo,ZA
ciudad del cabo,ZA
kapstadt,ZA
kapsztad,ZA
le cap,ZA
केप टाउन,ZA
เคปทาวน์,ZA
ケープタウン,ZA
开普敦,ZA
케이프타운,ZA
djeddah,SA
dschidda,SA
dżudda,SA
gedda,SA
jeddah,SA
jidá,SA
yeda,SA
जिद्दा,SA
ญิดดะฮ์,SA
ジッダ,SA
吉达,SA
제다,SA
chennai,IN
ćennaj,IN
चेन्नई,IN
เจนไน,IN
チェンナイ,IN
金奈,IN
첸나이,IN
calcuta,IN
calcutta,IN
calcutá,IN
kalkuta,IN
kalkutta,IN
kolkata,IN
कोलकाता,IN
โกลกาตา,IN
コルカタ,IN
加尔各答,IN
콜카타,IN
hạ môn,CN
xiamen,CN
शियामेन,CN
เซียะเหมิน,CN
アモイ,CN
厦门,CN
샤먼,CN
surat,IN
surate,IN
सूरत,IN
สุรัต,IN
スーラト,IN
苏拉特,IN
수라트,IN
rangoun,MM
rangum,MM
rangun,MM
rangún,MM
yangon,MM
यांगून,MM
ย่างกุ้ง,MM
ヤンゴン,MM
仰光,MM
양곤,MM
cabul,AF
kaboul,AF
kabul,AF
काबुल,AF
คาบูล,AF
カブール,AF
喀布尔,AF
카불,AF
nairobi,KE
nairóbi,KE
नैरोबी,KE
ไนโรบี,KE
ナイロビ,KE
内罗毕,KE
나이로비,KE
vô tích,CN
wuxi,CN
वूशी,CN
อู๋ซี,CN
无锡,CN
無錫,CN
우시,CN
giza,EG
gizeh,EG
gizé,EG
guiza,EG
गीज़ा,EG
กีซา,EG
ギザ,EG
吉萨,EG
기자,EG
jinan,CN
tế nam,CN
जिनान,CN
จี่หนาน,CN
济南,CN
済南,CN
제남,CN
taiyuan,CN
thái nguyên,"['CN', 'VN']"
ताइयुआन,CN
ไท่หยวน,CN
太原,"['CN', 'VN']"
타이위안,CN
타이응우옌,VN
trịnh châu,CN
zhengzhou,CN
झेंगझोउ,CN
เจิ้งโจว,CN
郑州,CN
鄭州,CN
정저우,CN
bamako,ML
बमाको,ML
บามาโก,ML
バマコ,ML
巴马科,ML
바마코,ML
riad,SA
riade,SA
rijad,SA
riyad,SA
riyadh,SA
रियाद,SA
รียาด,SA
リヤド,SA
利雅得,SA
리야드,SA
neu-taipeh,TW
new taipei city,TW
nouveau taipei,TW
nova taipé,TW
nowe tajpej,TW
nuevo taipéi,TW
nuova taipei,TW
tân bắc,TW
न्यू ताइपे शहर,TW
นิวไทเป,TW
新北市,TW
신베이시,TW
new territories,HK
nouveaux territoires,HK
novos territórios,HK
nowe terytoria,HK
nuevos territorios,HK
nuovi territori,HK
tân giới,HK
न्यू टेरिटोरीज़,HK
นิวเทร์ริทอรีส์,HK
新界,HK
신계,HK
shijiazhuang,CN
thạch gia trang,CN
शीज़ीयाज़ूआंग,CN
ฉือเจียจวง,CN
石家庄,CN
石家荘,CN
스자좡,CN
chattogram,BD
ćottogram,BD
चट्टग्राम,BD
จัตโตคราม,BD
チャットグラム,BD
吉大港,BD
차토그람,BD
los angeles,"['US', 'CL']"
los ángeles,"['US', 'CL']"
लॉस एंजेलिस,"['US', 'CL']"
ลอสแอนเจลิส,"['US', 'CL']"
ロサンゼルス,"['US', 'CL']"
洛杉矶,"['US', 'CL']"
로스앤젤레스,"['US', 'CL']"
addis ababa,ET
addis abeba,ET
addis-abeba,ET
adis abeba,ET
adís abeba,ET
अदीस अबाबा,ET
อัดดิสอาบาบา,ET
アディスアベバ,ET
亚的斯亚贝巴,ET
아디스아바바,ET
côn minh,CN
kunming,CN
कुनमिंग,CN
คุนหมิง,CN
昆明,CN
쿤밍,CN
trung sơn,CN
zhongshan,CN
झोंगशान,CN
จงชาน,CN
中山,CN
중산,CN
nam ninh,CN
nanning,CN
नाननिंग,CN
หนานหนิง,CN
南宁,CN
南寧,CN
난닝,CN
shantou,CN
sán đầu,CN
शान्ताउ,CN
ซัวเถา,CN
汕头,CN
汕頭,CN
산터우,CN
faisalabad,PK
fajsalabad,PK
फ़ैसलाबाद,PK
ไฟซาลาบาด,PK
ファイサラーバード,PK
费萨拉巴德,PK
파이살라바드,PK
jokohama,JP
yokohama,JP
योकोहामा,JP
โยโกฮามะ,JP
横浜,JP
横滨,JP
요코하마,JP
fuzhou,CN
phúc châu,CN
फ़ूझोउ,CN
ฝูโจว,CN
福州,CN
푸저우,CN
ningbo,CN
ninh ba,CN
निंगबो,CN
หนิงโป,CN
宁波,CN
寧波 (ニンポー),CN
닝보,CN
busan,KR
pusan,KR
बुसान,KR
ปูซาน,KR
釜山,KR
부산,KR
casablanca,MA
कासाब्लांका,MA
กาซาบล็องกา,MA
カサブランカ,MA
卡萨布兰卡,MA
카사블랑카,MA
ibadan,NG
ibadán,NG
ibadã,NG
इबादान,NG
อีบาดัน,NG
イバダン,NG
伊巴丹,NG
이바단,NG
bộc dương,CN
puyang,CN
पुयांग,CN
ปูหยาง,CN
プヤン,CN
濮阳,CN
푸양,CN
ancara,TR
ankara,TR
अंकारा,TR
อังการา,TR
アンカラ,TR
安卡拉,TR
앙카라,TR
dubai,AE
dubaj,AE
dubaï,AE
dubái,AE
दुबई,AE
ดูไบ,AE
ドバイ,AE
迪拜,AE
두바이,AE
shiyan,CN
thập yển,CN
शियान,CN
ฉือเยี่ยน,CN
十堰,CN
스옌,CN
berlim,DE
berlin,DE
berlino,DE
berlín,DE
बर्लिन,DE
เบอร์ลิน,DE
ベルリン,DE
柏林,DE
베를린,DE
tangshan,CN
đường sơn,CN
तांगशान,CN
ถังชาน,CN
唐山,CN
탕산,CN
rawalpindi,PK
रावलपिंडी,PK
ราวัลปินดี,PK
ラーワルピンディー,PK
拉瓦尔品第,PK
라왈핀디,PK
durban,ZA
डरबन,ZA
เดอร์บัน,ZA
ダーバン,ZA
德班,ZA
더반,ZA
changzhou,CN
thường châu,CN
चांगझोउ,CN
ฉางโจว,CN
常州,CN
창저우,CN
madrid,ES
madryt,ES
मैड्रिड,ES
มาดริด,ES
マドリード,ES
马德里,ES
마드리드,ES
bình nhưỡng,KP
pionyang,KP
pjongjang,KP
pjöngjang,KP
pyongyang,KP
प्योंगयांग,KP
เปียงยาง,KP
平壌,KP
平壤,KP
평양,KP
truy bác,CN
zibo,CN
ज़ीबो,CN
จือปั๋ว,CN
淄博,CN
puna,IN
pune,IN
पुणे,IN
ปูเน,IN
プネー,IN
浦那,IN
푸네,IN
brousse,TR
bursa,TR
बर्सा,TR
บูร์ซา,TR
ブルサ,TR
布尔萨,TR
부르사,TR
changsha,CN
trường sa,CN
चांगशा,CN
ฉางชา,CN
長沙,CN
长沙,CN
창사,CN
guiyang,CN
quý dương,CN
गुइयांग,CN
กุ้ยหยาง,CN
貴陽,CN
贵阳,CN
귀양,CN
ouroumtchi,CN
ueruemqi,CN
urumczi,CN
urumqi,CN
ürümqi,CN
उरुमची,CN
อุรุมชี,CN
ウルムチ,CN
乌鲁木齐,CN
우루무치,CN
caracas,VE
lan châu,CN
lanzhou,CN
काराकास,VE
लान्झू,CN
การากัส,VE
หลานโจว,CN
カラカス,VE
兰州,CN
加拉加斯,VE
蘭州,CN
란저우,CN
카라카스,VE
cidade quezon,PH
ciudad quezon,PH
quezon city,PH
thành phố quezon,PH
क्वेज़ोन सिटी,PH
เกซอนซิตี,PH
ケソン市,PH
奎松市,PH
케손시티,PH
incheon,KR
inczon,KR
इंचियोन,KR
อินชอน,KR
仁川,KR
인천,KR
huizhou,CN
huệ châu,CN
हुइझोउ,CN
ฮุ่ยโจว,CN
恵州,CN
惠州,CN
후이저우,CN
buenos aires,AR
ब्यूनस आयर्स,AR
บัวโนสไอเรส,AR
ブエノスアイレス,AR
布宜诺斯艾利斯,AR
부에노스아이레스,AR
surabaia,ID
surabaja,ID
surabaya,ID
सुराबाया,ID
ซูราบายา,ID
スラバヤ,ID
泗水,ID
수라바야,ID
haikou,CN
hải khẩu,CN
हाइकोउ,CN
ไหโข่ว,CN
海口,CN
하이커우,CN
kanpur,IN
कानपुर,IN
คานปุระ,IN
カンプール,IN
坎普尔,IN
칸푸르,IN
kiew,UA
kijów,UA
kyiv,UA
कीव,UA
เคียฟ,UA
キーウ,UA
基辅,UA
키이우,UA
quito,EC
क्विटो,EC
กีโต,EC
キト,EC
基多,EC
키토,EC
luanda,AO
लुआंडा,AO
ลูอันดา,AO
ルアンダ,AO
罗安达,AO
루안다,AO
osaka,JP
ओसाका,JP
โอซากะ,JP
大阪,JP
오사카,JP
linyi,CN
lâm nghi,CN
लिन्यी,CN
หลินอี๋,CN
临沂,CN
臨沂 (リンイー),CN
린이,CN
baoding,CN
bảo định,CN
बाओडिंग,CN
เป่าติ้ง,CN
バオディン,CN
保定,CN
바오딩,CN
brooklyn,US
ब्रुकलिन,US
บรุกลิน,US
ブルックリン,US
布鲁克林,US
브루클린,US
guayaquil,EC
ग्वायाकिल,EC
กัวยากิล,EC
グアヤキル,EC
瓜亚基尔,EC
과야킬,EC
belo horizonte,BR
बेलो होरिज़ोंटे,BR
เบโลโอรีซอนชี,BR
ベロオリゾンテ,BR
贝洛奥里藏特,BR
벨루오리존치,BR
salvador,BR
साल्वाडोर,BR
ซัลวาดอร์,BR
サルヴァドール,BR
萨尔瓦多,BR
사우바도르,BR
dżajpur,IN
jaipur,IN
जयपुर,IN
ชัยปุระ,IN
ジャイプール,IN
斋浦尔,IN
자이푸르,IN
chicago,US
शिकागो,US
ชิคาโก,US
シカゴ,US
芝加哥,US
시카고,US
abudża,NG
abuja,NG
abuya,NG
अबूजा,NG
อาบูจา,NG
アブジャ,NG
阿布贾,NG
아부자,NG
gazipur,BD
गाज़ीपुर,BD
กาซีปูร์,BD
ガジプル,BD
加济布尔,BD
가지푸르,BD
wenzhou,CN
ôn châu,CN
वेनझोउ,CN
เวินโจว,CN
温州,CN
온주,CN
dacar,SN
dakar,SN
डकार,SN
ดาการ์,SN
ダカール,SN
达喀尔,SN
다카르,SN
vân phù,CN
yunfu,CN
युन्फ़ू,CN
ยฺหวินฝู,CN
云浮,CN
雲浮,CN
윈푸,CN
navi mumbai,IN
toronto,CA
टोरंटो,CA
नवी मुंबई,IN
นาวีมุมไบ,IN
โทรอนโต,CA
トロント,CA
ナビムンバイ,IN
多伦多,CA
新孟买,IN
나비뭄바이,IN
토론토,CA
mogadischu,SO
mogadiscio,SO
mogadishu,SO
mogadiszu,SO
mogadíscio,SO
मोगादिशू,SO
โมกาดิชู,SO
モガディシュ,SO
摩加迪沙,SO
모가디슈,SO
brisbane,AU
ब्रिसबेन,AU
บริสเบน,AU
ブリスベン,AU
布里斯班,AU
브리즈번,AU
daegu,KR
देगू,KR
แทกู,KR
大邱,KR
대구,KR
bekasi,ID
बेकासी,ID
เบกาซี,ID
ブカシ,ID
勿加泗,ID
브카시,ID
kumasi,GH
कुमासी,GH
คูมาซี,GH
クマシ,GH
库马西,GH
쿠마시,GH
gudźranwala,PK
gujranwala,PK
गुजरांवाला,PK
คุชรันวาลา,PK
グジュラーンワーラー,PK
古吉兰瓦拉,PK
구지란왈라,PK
esmirna,TR
izmir,TR
smirne,TR
इज़मिर,TR
อิซมีร์,TR
イズミル,TR
伊兹密尔,TR
이즈미르,TR
hoài an,CN
huai'an,CN
ह्वाइआन,CN
หวยอัน,CN
淮安,CN
화이안,CN
lakhnau,IN
lucknow,IN
लखनऊ,IN
ลัคเนา,IN
ラクナウ,IN
勒克瑙,IN
러크나우,IN
bandung,ID
बांडुंग,ID
บันดุง,ID
バンドン,ID
万隆,ID
반둥,ID
medan,ID
medã,ID
मेदान,ID
เมดาน,ID
メダン,ID
棉兰,ID
메단,ID
ouagadougou,BF
uagadugu,BF
uagadugú,BF
wagadugu,BF
वागादुगू,BF
วากาดูกู,BF
ワガドゥグー,BF
瓦加杜古,BF
와가두구,BF
fortaleza,BR
फ़ोर्टालेज़ा,BR
โฟร์ตาเลซา,BR
フォルタレザ,BR
福塔雷萨,BR
포르탈레자,BR
cali,CO
cáli,CO
काली,CO
กาลี,CO
カリ,CO
卡利,CO
칼리,CO
alger,DZ
algeri,DZ
algier,DZ
algiers,DZ
argel,DZ
अल्जीयर्स,DZ
แอลเจียร์ส,DZ
アルジェ,DZ
阿尔及尔,DZ
알제,DZ
nam xương,CN
nanchang,CN
नानचांग,CN
หนานชาง,CN
南昌,CN
난창,CN
hohhot,CN
होहोट,CN
ฮูฮอต,CN
フフホト,CN
呼和浩特,CN
후허하오터,CN
nagoia,JP
nagoja,JP
nagoya,JP
नागोया,JP
นาโงย่า,JP
名古屋,JP
나고야,JP
rom,IT
roma,IT
rome,IT
rzym,IT
rôma,IT
रोम,IT
โรม,IT
ローマ,IT
罗马,IT
로마,IT
machhad,IR
maschhad,IR
mashhad,IR
meszhed,IR
मशहद,IR
มัชฮัด,IR
マシュハド,IR
马什哈德,IR
마슈하드,IR
houston,US
ह्यूस्टन,US
ฮิวสตัน,US
ヒューストン,US
休斯敦,US
휴스턴,US
shaoxing,CN
thiệu hưng,CN
शाओशिंग,CN
เช่าซิง,CN
紹興,CN
绍兴,CN
샤오싱,CN
nam thông,CN
nantong,CN
नानतोंग,CN
หนานทง,CN
南通,CN
난퉁,CN
queens,US
क्वीन्स,US
ควีนส์,US
クイーンズ区,US
皇后区,US
퀸스,US
cửu long,HK
koulun,HK
kowloon,HK
कॉव्लून,HK
เกาลูน,HK
九龍,HK
가우룽,HK
nagpur,IN
नागपुर,IN
นาคปุระ,IN
ナーグプル,IN
那格浦尔,IN
나그푸르,IN
yantai,CN
yên đài,CN
यानथाई,CN
ยานไถ,CN
烟台,CN
煙台,CN
옌타이,CN
maracaibo,VE
माराकाइबो,VE
มาราไกโบ,VE
マラカイボ,VE
马拉开波,VE
마라카이보,VE
lubumbashi,CD
लुबुम्बाशी,CD
ลูบุมบาชี,CD
ルブンバシ,CD
卢本巴希,CD
루붐바시,CD
manaus,BR
मानौस,BR
มาเนาส์,BR
マナウス,BR
玛瑙斯,BR
마나우스,BR
lusaca,ZM
lusaka,ZM
लुसाका,ZM
ลูซากา,ZM
ルサカ,ZM
卢萨卡,ZM
루사카,ZM
brasilia,BR
brasília,BR
ब्रासीलिया,BR
บราซีเลีย,BR
ブラジリア,BR
巴西利亚,BR
브라질리아,BR
châu hải,CN
zhuhai,CN
ज़ूहाई,CN
จูไห่,CN
珠海,CN
주하이,CN
saint-domingue,DO
santo domingo,DO
são domingos,DO
सेंटो डोमिंगो,DO
ซานโตโดมิงโก,DO
サントドミンゴ,DO
圣多明各,DO
산토도밍고,DO
perth,AU
पर्थ,AU
เพิร์ท,AU
パース,AU
珀斯,AU
퍼스,AU
lome,TG
lomé,TG
लोमे,TG
โลเม,TG
ロメ,TG
洛美,TG
로메,TG
multan,PK
multán,PK
मुल्तान,PK
มุลตาน,PK
ムルターン,PK
木尔坦,PK
물탄,PK
havana,CU
havanna,CU
hawana,CU
l'avana,CU
la habana,CU
la havane,CU
हवाना,CU
ฮาวานา,CU
ハバナ,CU
哈瓦那,CU
아바나,CU
bao đầu,CN
baotou,CN
बाओटौ,CN
เปาโถว,CN
包头,CN
包頭,CN
바오터우,CN
depok,ID
डेपोक,ID
เดปก,ID
デポック,ID
德波,ID
데폭,ID
parigi,FR
paris,FR
paryż,FR
parís,FR
पैरिस,FR
ปารีส,FR
パリ,FR
巴黎,FR
파리,FR
coimbatore,IN
kojambatur,IN
कोयंबटूर,IN
โคอิมบาตอร์,IN
コインバトール,IN
哥印拜陀,IN
코임바토르,IN
port harcourt,NG
पोर्ट हारकोर्ट,NG
พอร์ตฮาร์คอร์ต,NG
ポートハーコート,NG
哈科特港,NG
포트하커트,NG
pretoria,ZA
pretória,ZA
प्रिटोरिया,ZA
พริทอเรีย,ZA
プレトリア,ZA
比勒陀利亚,ZA
프리토리아,ZA
mbuji-mayi,CD
म्बुजी-मायी,CD
อึมบูฌี-มายี,CD
ムブジマイ,CD
姆布吉马伊,CD
음부지마이,CD
alep,SY
alepo,SY
aleppo,SY
अलेप्पो,SY
อะเลปโป,SY
アレッポ,SY
阿勒颇,SY
알레포,SY
côn sơn,CN
kunshan,CN
कुनशान,CN
คุนชาน,CN
昆山,CN
쿤산,CN
al mawsil al jadidah,IQ
al-mawsil al-dschadida,IQ
al-mawsil al-dżadida,IQ
mossoul al-jadida,IQ
mosul al yadida,IQ
अल-मौसिल अल-जदीदा,IQ
อัล-เมาซิล อัล-จาดีดะฮ์,IQ
アル＝マウシル・アル＝ジャディーダ,IQ
摩苏尔贾迪达,IQ
알마우실 알자디다,IQ
duy phường,CN
weifang,CN
वेइफांग,CN
เวย์ฟาง,CN
ウェイファン,CN
潍坊,CN
웨이팡,CN
tuân nghĩa,CN
zunyi,CN
ज़ुन्यी,CN
จู้นอี้,CN
遵义,CN
遵義,CN
al basrah al qadimah,IQ
अल बसरा अल क़दीमा,IQ
อัลบัสราอัลคาดิมาห์,IQ
アル・バスラ・アル・カディマ,IQ
巴士拉老城,IQ
알 바스라 알 카디마,IQ
lianyungang,CN
liên vân cảng,CN
लिआनयुंगांग,CN
เหลียนยฺหวินกั่ง,CN
连云港,CN
連雲港,CN
롄윈강,CN
medelim,CO
medellin,CO
medellín,CO
मेदेयीन,CO
เมเดยิน,CO
メデジン,CO
麦德林,CO
메데인,CO
brazavile,CG
brazzaville,CG
ब्राज़ाविल,CG
บราซาวีล,CG
ブラザヴィル,CG
布拉柴维尔,CG
브라자빌,CG
tachkent,UZ
taschkent,UZ
tashkent,UZ
taskent,UZ
taszkent,UZ
ताशकन्द,UZ
ทาชเคนต์,UZ
