entity,extra_info
Chitlins,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Chitlins And Maw,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Chitterlings,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Chopped Cheese,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Chow Mein Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Chow-Chow,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Clam Roll,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Compote,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Cornbread,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Cornmeal Mush,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Country Captain,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Crab Cake,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Crab Cake Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Cracklin',"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Cream Of Wheat,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Creamed Eggs On Toast,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Cuban Bread,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Cuban Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Cudighi,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Dagwood Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Denver Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Deviled Eggs,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Eggs Benedict,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
English Muffin,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Fat Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Fluffernutter,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Fool's Gold Loaf,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
French Dip,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Fried Grits,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Fried-Brain Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Game Meat,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Goober Peas,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Grits,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Grits And Grillades,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Handwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Hash Browns,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Horseshoe Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Hot Brown,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Hot Chicken,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Hot Dog,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Hot Hamburger Plate,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Italian Beef,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Italian Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Jersey Breakfast,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
King Cake,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Kolache,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Limburger Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Livermush,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Lobster Roll,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Luther Burger,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Macaroni And Cheese,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Maple Syrup,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Marmalade,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Maxwell Street Polish,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Meatloaf Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Melt Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Molasses,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Monroe Sausage,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Monte Cristo Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Moravian Chicken Pie,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Oyster Stew,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Pastrami On Rye,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Patty Melt,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Pit Beef Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Po' Boy,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Polish Boy,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Pork Tenderloin Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Primanti Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Pulled Pork Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Pumpkin Bread,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Raisin Bread,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Red Slaw,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Red-Eye Gravy,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Reuben Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Roast Pork Italian,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Salmon Croquettes,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Sandwich Loaf,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Sandwich Wrap,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Sausage Gravy,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Sausage Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Scrapple,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Sealed Crustless Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Shrimp And Grits,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Shrimp Creole,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Sloppy Joe,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Smithfield Ham,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Souse Meat,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Spiedie,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Steak And Eggs,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Strata,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Submarine Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Tavern Sandwich,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Tipsy Cake,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Tuna Fish Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Turkey Devonshire,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Yeast Rolls,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Asado,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Argentine""}"
Chimichurri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Argentine""}"
Choripán,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Argentine""}"
Humita,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Argentine""}"
Matambre,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Argentine""}"
Pascualina,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Argentine""}"
Polenta,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Argentine""}"
Pollo Al Disco,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Argentine""}"
Revuelto Gramajo,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Argentine""}"
Sorrentinos,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Argentine""}"
Vitel Toné,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Argentine""}"
Aberém,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Acaçá,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Açaí Na Tigela,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Acarajé,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Afogado,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Angu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Arabu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Arroz De Coco,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Arroz E Feijão,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Baião De Dois,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Banana Angu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Bananada,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Barreado,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Bauru,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Beijinho,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Beijo De Mulata,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Bem-Casado,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Bijajica,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Biribinha,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Biroró,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Biscoito De Polvilho,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Bobó De Camarão,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Bolinho,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Bolo De Rolo,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Bolo Souza Leão,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Bom-Bocado,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Brigadeiro,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Broinha,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Broinha De Coco,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Brote,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Bruaca,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Buchada De Bode,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Cachorro-Quente,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Cacuanga,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Camafeu De Nozes,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Canudinho,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Caribéu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Carne-De-Sol,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Carneiro No Buraco,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Carolina,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Cartola,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cashewsoup,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Chica Doida,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Chouriço Doce,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Chuvisco,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Cocada,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cocada Branca,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cocada Morena,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cocada Preta,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Coconut Rice,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cocorote,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Costela No Bafo,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Cozido Com Pirão,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Creme De Papaya,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cupulate,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cuscuz,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Cuscuz Com Charque,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Cuscuz De Tapioca,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Cuxá,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Deep-Friedcassava,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Doce De Abóbora,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Doce De Batata Doce,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Doce De Leite,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Doces Cristalizados,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Encapotado,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Escondidinho,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Espetinho,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Farofa,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Fatia De Braga,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Filós,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Frango Com Quiabo,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Frango De Cabidela,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Furrundu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Galinha Cheia,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Galinhada,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Ginga Com Tapioca,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Leitão À Pururuca,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Leitão Maturado,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Lelê,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Mané-Pança,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Maniçoba,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Manjar Branco,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Maria-Isabel,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Marmelada De Santa Luzia,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Mentira,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Mexido,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Mininico,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Misto-Quente,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Mocotó,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Mojica,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Mujeca,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Nhá Benta,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Paçoca,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Paçoquinha De Colher,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Panelada,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Pão De Frios,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Pão De Queijo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Pato No Tucupi,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Pavê,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Paxicá,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Pé De Moleque,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Pé-De-Moleque,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Peixada Catarinense,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Peixe Na Telha,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Picadinho,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Piracuí,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Piranha Soup,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Pirão,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Pirarucu De Casaca,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Porco No Rolete,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Pururuca,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Quarenta,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Quebra-Queixo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Queijo De Coalho,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Queijo Do Reino,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Queijo Manteiga,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Queijo Minas,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Quibebe,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Quinhapira,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Quirera Com Suã,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Rabada,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Rapadura,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Rice And Beans,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Rice And Peas,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Romeu E Julieta,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Rubacão,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Salgadinho,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Salgado,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Sarapatel,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Sarrabulho,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Shrimp Pumpkin,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Sobá,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Sopa De Mondongo,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Sorda,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Sururu,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Brazilian""}"
Tapioca,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Tapioca De Coco,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Brazilian""}"
Torta Alemã,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Tropeiro Beans,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
Tutoo,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Brazilian""}"
